,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,10,10,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",6.524703502655029,0.8249118443963339,0.9000331748313612,0.7860129486312049,0.8249118443963339,0.8249118443963339
1,Model,10,10,15,MNB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MNB', 'Enc:ENC:encoder': 'one-hot', 'MNB:alpha': 0.019937388404816528, 'MNB:fit_prior': False}",8.143362522125244,0.697699135785079,0.6920269821961739,0.573581291494216,0.697699135785079,0.697699135785079
2,Model,10,10,28,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002759929620864631, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.7409787859300156, 'DTREE:min_samples_leaf': 7, 'DTREE:min_samples_split': 8, 'Enc:ENC:encoder': 'one-hot'}",11.96289849281311,0.7453086659414568,0.9013601680858122,0.7533663729126654,0.7453086659414568,0.7453086659414568
3,Model,10,10,20,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.25897024166281757, 'GB:learning_rate': 0.06616941140061697, 'GB:min_samples_leaf': 36}",35.623735666275024,0.7277187969408615,0.9072210549596373,0.7513269393507735,0.7277187969408615,0.7277187969408615
4,Model,10,10,22,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'Enc:ENC:encoder': 'one-hot', 'QDA:reg_param': 0.4886992702752173}",7.770085573196411,0.7157083875366501,0.844741789229238,0.6807750121139013,0.7157083875366501,0.7157083875366501
5,Model,10,10,58,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 0.3809192194258654, 'AB:n_estimators': 42, 'Enc:ENC:encoder': 'one-hot'}",75.2729001045227,0.6412158667065966,0.8992590954329316,0.6795196630475608,0.6412158667065967,0.6412158667065967
6,Model,10,10,9,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 1.7146042190501476, 'AB:n_estimators': 55, 'Enc:ENC:encoder': 'one-hot'}",97.77643346786499,0.6600580838599784,0.8956098639831914,0.6919225500230248,0.6600580838599784,0.6600580838599784
7,Model,10,10,37,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",61.82517623901367,0.7259371600579063,0.9033506579674887,0.7453637907748774,0.7259371600579062,0.7259371600579062
8,Model,10,10,1,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0, 'RF:criterion': 'gini', 'RF:max_features': 0.5, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 50}",99.70314860343933,0.7219851020284962,0.905783478933982,0.7461623067118319,0.7219851020284962,0.7219851020284962
9,Model,10,10,25,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.5481646655709492e-07, 'GB:learning_rate': 0.23505986156428454, 'GB:min_samples_leaf': 94}",31.14023184776306,0.7249860620042542,0.9045670684507354,0.7463537149447546,0.7249860620042542,0.7249860620042542
10,Model,10,10,57,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",28.669458389282227,0.7364877197675699,0.9067787238748203,0.7556283229159003,0.7364877197675699,0.7364877197675699
