,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,15,15,3,MLE,"{'ENS:size': 15, 'algorithm': 'MLE'}",1.8913164138793945,0.8123642934689446,0.8149134487350199,0.8130987869835729,0.8123642934689448,0.8123642934689448
1,Model,15,15,72,AB,"{'Dr:algorithm': 'MUTUAL_INFORMATION', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 1.1530133289668845, 'AB:n_estimators': 77, 'Dr:MUTUAL_INFORMATION:max_param_fraction': 0.03944287695903215}",232.2409942150116,0.7494500314267756,0.7523302263648469,0.7499677807371767,0.7494500314267755,0.7494500314267755
2,Model,15,15,64,SGD,"{'Dr:algorithm': 'MUTUAL_INFORMATION', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'SGD', 'Dr:MUTUAL_INFORMATION:max_param_fraction': 0.6440659784939378, 'SGD:alpha': 2.563190088406204e-06, 'SGD:average': True, 'SGD:epsilon': 0.00019645179032490897, 'SGD:learning_rate': 'adaptive', 'SGD:loss': 'hinge', 'SGD:penalty': 'l1', 'SGD:power_t': 0.5010378329293975, 'SGD:tol': 0.00010650011696227813, 'SGD:eta0': 0.004139145897753186, 'SGD:l1_ratio': 0.00787045155260088}",231.30268836021423,0.7717880406833895,0.7762982689747004,0.7731117824773415,0.7717880406833895,0.7717880406833895
3,Model,15,15,21,PA,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'PA', 'Dr:PCA:n_components': 0.8956036784042172, 'Dr:PCA:whiten': True, 'PA:C': 0.07803210509820256, 'PA:average': False, 'PA:loss': 'squared_hinge', 'PA:tol': 1.1739896417823153e-05}",43.80609846115112,0.6967101879892578,0.6990679094540613,0.6967965757731664,0.6967101879892579,0.6967101879892579
4,Model,15,15,65,BNB,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'BNB', 'BNB:alpha': 0.08762162448961514, 'BNB:fit_prior': True, 'Dr:PCA:n_components': 0.7632308709752769, 'Dr:PCA:whiten': True}",43.853708028793335,0.6921247357293869,0.6950732356857523,0.6924008363426286,0.6921247357293869,0.6921247357293869
5,Model,15,15,76,RF,"{'Dr:algorithm': 'MUTUAL_INFORMATION', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Dr:MUTUAL_INFORMATION:max_param_fraction': 0.7276620155144632, 'RF:bootstrap': False, 'RF:ccp_alpha': 0.0008613851249361544, 'RF:criterion': 'entropy', 'RF:max_features': 0.5022213189591789, 'RF:min_samples_leaf': 3, 'RF:min_samples_split': 2, 'RF:n_estimators': 31}",323.2535493373871,0.8270027427004172,0.829560585885486,0.8278436035932777,0.8270027427004171,0.8270027427004171
6,Model,15,15,22,RF,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Dr:feature_importance:max_param_fraction': 0.6742529014023462, 'RF:bootstrap': True, 'RF:ccp_alpha': 0.00048194061637599076, 'RF:criterion': 'entropy', 'RF:max_features': 0.1446176621561975, 'RF:min_samples_leaf': 9, 'RF:min_samples_split': 4, 'RF:n_estimators': 149}",111.91474342346191,0.8103394091766185,0.8149134487350199,0.812093523923699,0.8103394091766185,0.8103394091766185
7,Model,15,15,8,GB,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'GB', 'Dr:feature_importance:max_param_fraction': 0.4719677062681955, 'GB:l2_regularization': 0.37494976696929583, 'GB:learning_rate': 0.1463807407857089, 'GB:min_samples_leaf': 144}",55.925435304641724,0.8103572652991258,0.8122503328894807,0.8106983304640698,0.8103572652991258,0.8103572652991258
8,Model,15,15,50,MNB,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'MNB', 'Dr:PCA:n_components': 0.8910970740301318, 'Dr:PCA:whiten': False, 'MNB:alpha': 0.041233569570957855, 'MNB:fit_prior': False}",42.00792193412781,0.6876964173475801,0.6844207723035952,0.6843110649958764,0.6876964173475801,0.6876964173475801
9,Model,15,15,52,SGD,"{'Dr:algorithm': 'PRE_LDA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'SGD', 'Dr:PRE_LDA:max_component_fraction': 0.4066607452026836, 'Dr:PRE_LDA:solver': 'eigen', 'Dr:PRE_LDA:tol': 0.014118993398389214, 'SGD:alpha': 0.00025402636996798374, 'SGD:average': False, 'SGD:epsilon': 0.000585491333985789, 'SGD:learning_rate': 'invscaling', 'SGD:loss': 'perceptron', 'SGD:penalty': 'elasticnet', 'SGD:power_t': 0.6167721316256103, 'SGD:tol': 0.0001251208794045953, 'Dr:PRE_LDA:shrinkage': 'manual', 'SGD:eta0': 0.008735690604164837, 'Dr:PRE_LDA:manual': 0.4781226003989324}",33.42531895637512,0.7244443174675732,0.7403462050599201,0.7229867380929411,0.7244443174675733,0.7244443174675733
