,m1 rid,m1 algorithm,m1 configuration,m2 rid,m2 algorithm,m2 configuration,m2 runtime,doublefault_norm,doublefault,correlation_norm,disagreement,yulesq
0,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",79,KNN_CLASS,"{'Dr:algorithm': 'MUTUAL_INFORMATION', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'KNN_CLASS', 'Dr:MUTUAL_INFORMATION:max_param_fraction': 0.6772381082208132, 'KNN_CLASS:n_neighbors': 31, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'distance'}",224.1139795780182,0.8495339547270306,0.15046604527296936,0.3132297312946001,0.2543275632490013,0.709947697151272
1,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",24,PA,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'PA', 'Dr:PCA:n_components': 0.7201593510409753, 'Dr:PCA:whiten': True, 'PA:C': 0.7414694320905283, 'PA:average': False, 'PA:loss': 'hinge', 'PA:tol': 0.009698580033555938}",39.09296274185181,0.844207723035952,0.15579227696404793,0.38473870795249776,0.3382157123834887,0.47108942013400606
2,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",21,PA,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'PA', 'Dr:PCA:n_components': 0.8956036784042172, 'Dr:PCA:whiten': True, 'PA:C': 0.07803210509820256, 'PA:average': False, 'PA:loss': 'squared_hinge', 'PA:tol': 1.1739896417823153e-05}",46.212109327316284,0.8415446071904128,0.1584553928095872,0.30011655162737283,0.24500665778961384,0.7383875438167441
3,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",20,DTREE,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0007670567474416184, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 0.8279064032586472, 'DTREE:min_samples_leaf': 6, 'DTREE:min_samples_split': 7, 'Dr:PCA:n_components': 0.8184923818859426, 'Dr:PCA:whiten': False}",47.55331206321716,0.8508655126498003,0.14913448735019974,0.40608936776006865,0.3595206391478029,0.3932038834951457
4,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",53,GB,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'GB', 'Dr:PCA:n_components': 0.8738664530968153, 'Dr:PCA:whiten': False, 'GB:l2_regularization': 3.346027042982024e-07, 'GB:learning_rate': 0.30237161428553266, 'GB:min_samples_leaf': 72}",61.00514554977417,0.8521970705725699,0.1478029294274301,0.30157400365168874,0.2423435419440746,0.7464401655816829
5,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",88,KNN_CLASS,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'KNN_CLASS', 'Dr:PCA:n_components': 0.698230625250587, 'Dr:PCA:whiten': True, 'KNN_CLASS:n_neighbors': 20, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'distance'}",42.72545862197876,0.8535286284953396,0.14647137150466044,0.33126400738148554,0.27030625832223704,0.6596052495608143
6,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",23,MLP,"{'Dr:algorithm': 'MUTUAL_INFORMATION', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'MLP', 'Dr:MUTUAL_INFORMATION:max_param_fraction': 0.6665847391814704, 'MLP:activation': 'relu', 'MLP:alpha': 0.00011892775661531066, 'MLP:n_hidden_layers': 3, 'MLP:n_neurons_layer': 137, 'MLP:solver': 'lbfgs', 'MLP:tol': 0.000763779868743526}",404.2206723690033,0.8388814913448734,0.1611185086551265,0.27780035862618313,0.22503328894806923,0.7930535688455296
7,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",3,SVM,"{'Dr:algorithm': 'PCA', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'SVM', 'Dr:PCA:n_components': 0.7096185213697627, 'Dr:PCA:whiten': True, 'SVM:C': 449.6747096979906, 'SVM:gamma': 0.7948253432522556, 'SVM:kernel': 'poly', 'SVM:tol': 3.6135627449773e-05, 'SVM:coef0': 0.19373162888764628, 'SVM:degree': 3}",47.368889808654785,0.8588548601864181,0.1411451398135819,0.3457864623112541,0.2822902796271638,0.6180068389325625
8,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",8,GB,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'GB', 'Dr:feature_importance:max_param_fraction': 0.4719677062681955, 'GB:l2_regularization': 0.37494976696929583, 'GB:learning_rate': 0.1463807407857089, 'GB:min_samples_leaf': 144}",49.22027397155762,0.848202396804261,0.151797603195739,0.2645993845780348,0.21171770972037285,0.8369121860778695
9,32,LSVM,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'LSVM', 'Dr:feature_importance:max_param_fraction': 0.9023245104719119, 'LSVM:C': 93.5172226014945, 'LSVM:loss': 'squared_hinge', 'LSVM:penalty': 'l2', 'LSVM:tol': 0.00010097342968793287}",56,GB,"{'Dr:algorithm': 'feature_importance', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'GB', 'Dr:feature_importance:max_param_fraction': 0.43929700440577746, 'GB:l2_regularization': 3.141172363151439e-09, 'GB:learning_rate': 0.3941055687400344, 'GB:min_samples_leaf': 97}",48.81048393249512,0.8561917443408789,0.14380825565912117,0.2744001740736266,0.21837549933422104,0.8250194030903831
