,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,20,20,3,MLE,"{'ENS:size': 20, 'algorithm': 'MLE'}",2.486020803451538,0.9624190564292322,0.9588414634146342,0.921951219512195,0.9624190564292323,0.9624190564292323
1,Model,20,20,31,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'RANDOM_OVER_SAMPLING', 'Us:algorithm': 'NOOS', 'algorithm': 'LDA', 'Enc:ENC:encoder': 'one-hot', 'LDA:solver': 'lsqr', 'Ovs:RANDOM_OVER_SAMPLING:random_state': 190, 'Ovs:RANDOM_OVER_SAMPLING:sampling_strategy': 'all', 'LDA:shrinkage': 'auto'}",230.4653923511505,0.916936478569226,0.9588414634146342,0.9150483225017387,0.916936478569226,0.916936478569226
2,Model,20,20,50,GNB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'tomek_links', 'Us:algorithm': 'NOOS', 'algorithm': 'GNB', 'Enc:ENC:encoder': 'one-hot', 'GNB:var_smoothing': 8.439818619332433e-09, 'Ovs:tomek_links:sampling_strategy': 'majority'}",56.60264778137207,0.8266265803268578,0.7957317073170732,0.7062935193723856,0.8266265803268578,0.8266265803268578
3,Model,20,20,18,DTREE,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'tomek_links', 'Us:algorithm': 'NOOS', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.00011099411182987862, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 0.0984264812387019, 'DTREE:min_samples_leaf': 1, 'DTREE:min_samples_split': 8, 'Enc:ENC:encoder': 'one-hot', 'Ovs:tomek_links:sampling_strategy': 'all'}",85.095374584198,0.950431699044095,0.9695121951219512,0.938455765081152,0.950431699044095,0.950431699044095
4,Model,20,20,60,XT,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'tomek_links', 'Us:algorithm': 'NOOS', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'Ovs:tomek_links:sampling_strategy': 'all', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.00021907815969851642, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.3040432151814778, 'XT:max_features': 0.28738599500797923, 'XT:min_samples_leaf': 5, 'XT:min_samples_split': 6, 'XT:n_estimators': 3}",73.3015673160553,0.9231421523280913,0.9695121951219512,0.9350018825674257,0.9231421523280913,0.9231421523280913
5,Model,20,20,64,DTREE,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.000493253484847115, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 0.6170334509627255, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 6, 'Enc:ENC:encoder': 'one-hot', 'Ovs:smote:k_neighbors': 5, 'Ovs:smote:random_state': 240, 'Ovs:smote:sampling_strategy': 'minority'}",58.35898470878601,0.9232577860006167,0.961890243902439,0.9213410393534618,0.9232577860006166,0.9232577860006166
6,Model,20,20,45,RF,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'Ovs:smote:k_neighbors': 3, 'Ovs:smote:random_state': 146, 'Ovs:smote:sampling_strategy': 'all', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.0009664025897778064, 'RF:criterion': 'gini', 'RF:max_features': 0.4752042294303309, 'RF:min_samples_leaf': 3, 'RF:min_samples_split': 8, 'RF:n_estimators': 40}",311.95030450820923,0.9539777983348752,0.975609756097561,0.9498844515747054,0.9539777983348751,0.9539777983348751
7,Model,20,20,36,RF,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'Ovs:smote:k_neighbors': 3, 'Ovs:smote:random_state': 171, 'Ovs:smote:sampling_strategy': 'all', 'RF:bootstrap': True, 'RF:ccp_alpha': 9.353724386916763e-05, 'RF:criterion': 'gini', 'RF:max_features': 0.772807977227417, 'RF:min_samples_leaf': 2, 'RF:min_samples_split': 10, 'RF:n_estimators': 79}",590.6311330795288,0.9423373419673142,0.9634146341463414,0.9267857142857142,0.9423373419673142,0.9423373419673142
8,Model,20,20,2,DTREE,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.00011745261839813348, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 1.7921529471685926, 'DTREE:min_samples_leaf': 2, 'DTREE:min_samples_split': 3, 'Enc:ENC:encoder': 'one-hot', 'Ovs:smote:k_neighbors': 7, 'Ovs:smote:random_state': 306, 'Ovs:smote:sampling_strategy': 'not majority'}",65.43252778053284,0.9485430157261794,0.9740853658536586,0.946511906760354,0.9485430157261796,0.9485430157261796
9,Model,20,20,54,RF,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'RANDOM_OVER_SAMPLING', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'Ovs:RANDOM_OVER_SAMPLING:random_state': 57, 'Ovs:RANDOM_OVER_SAMPLING:sampling_strategy': 'all', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.00035942723817516123, 'RF:criterion': 'entropy', 'RF:max_features': 0.4622677811256728, 'RF:min_samples_leaf': 3, 'RF:min_samples_split': 3, 'RF:n_estimators': 14}",90.67064166069031,0.950431699044095,0.9695121951219512,0.938455765081152,0.950431699044095,0.950431699044095
10,Model,20,20,1,RF,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'edited_nearest_neighbours', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'Ovs:edited_nearest_neighbours:kind_sel': 'all', 'Ovs:edited_nearest_neighbours:n_neighbors': 3, 'Ovs:edited_nearest_neighbours:sampling_strategy': 'not minority', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0, 'RF:criterion': 'gini', 'RF:max_features': 0.5, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 50}",299.21161556243896,0.9693956213382671,0.9786585365853658,0.9569190355568066,0.9693956213382671,0.9693956213382671
