dataset,algo,time_budget,c_budget,ens_size,beta,tau,runtime,true_ens_size,doublefault,doublefault_norm,yules_q,yules_q_norm,correlation,correlation_norm,disagreement,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy,balanced_accuracy
23,bo_div,600,3600,25,0.025,0.2,3755.523495627,4,0.31412429378531076,0.6858757062146893,0.5586600230271396,0.22066998848643024,0.3554505311912248,0.32227473440438764,0.32598870056497176,0.5619420005918682,0.7368672142121889,0.7389632393981288,0.576271186440678,0.5571326374662634
23,bo_div,600,3600,25,0.025,0.2,3609.780868903,14,0.345576457440864,0.6544235425591358,0.49962397440329315,0.2501880127983534,0.307879352876963,0.34606032356151845,0.3461352207114919,0.5450945859374029,0.7288338688787794,0.7348783075081791,0.5457627118644067,0.5604958401270957
23,bo_div,600,3600,25,0.025,0.2,3715.832278386,8,0.3554479418886199,0.64455205811138,0.5290086787735985,0.23549566061320068,0.3121785872814503,0.34391070635927473,0.34503631961259085,0.4696451740401118,0.6959379462052534,0.7010125156395302,0.49491525423728816,0.46179002280846
23,bo_div,600,3600,25,0.025,0.2,3609.601847881,8,0.33341404358353516,0.6665859564164649,0.5341639403719093,0.23291802981404539,0.3017735495321034,0.34911322523394833,0.3501210653753027,0.5412085572069575,0.7095106143695273,0.7157380381952934,0.5423728813559322,0.5437123439757329
23,bo_div,600,3600,25,0.025,0.2,4342.878606759,8,0.3338983050847458,0.6661016949152543,0.5379789169479123,0.23101054152604394,0.31768719914644006,0.34115640042677997,0.34237288135593225,0.5359156822844285,0.7092501608450525,0.7132801902277058,0.5491525423728814,0.5286592248839834
30,bo_div,600,3600,25,0.025,0.2,3606.987595322,7,0.025527288540987174,0.9744727114590129,0.9719394835359516,0.014030258232024227,0.5923231906386557,0.2038384046806722,0.047575559904327026,0.8634270010469212,0.9906556804485516,0.9885124765025545,0.9744292237442922,0.8503705729058465
30,bo_div,600,3600,25,0.025,0.2,3641.890328466,2,0.02009132420091324,0.9799086757990868,0.9037518937706085,0.04812405311469581,0.3218309873755888,0.33908450631220566,0.09315068493150684,0.8345343449702295,0.9861708393122153,0.9836845155124866,0.9689497716894977,0.8121917838207813
30,bo_div,600,3600,25,0.025,0.2,3614.83825508,5,0.023196347031963473,0.9768036529680366,0.9751990853546195,0.012400457322690328,0.5808206064940922,0.20958969675295389,0.03287671232876712,0.8150561461965202,0.9926303995882788,0.9927819745849844,0.9698630136986301,0.7778410045878753
30,bo_div,600,3600,25,0.025,0.2,3724.671178507,7,0.021917808219178086,0.978082191780822,0.9378827945321151,0.031058602733942512,0.4880535943419979,0.25597320282900105,0.06105675146771038,0.8481253733265479,0.9923478650376419,0.9917070616666197,0.9707762557077626,0.8263331979621953
30,bo_div,600,3600,25,0.025,0.2,3617.259863494,18,0.04079744530993525,0.9592025546900651,0.9587884378136365,0.020605781093181265,0.5830715349073544,0.208464232546323,0.054579640075208144,0.8382254828673797,0.9715533398770942,0.9701229898616653,0.971689497716895,0.8067254257824384
554,bo_div,600,3600,25,0.025,0.2,8736.039453172,3,0.06414285714285715,0.9358571428571428,0.37749965637293464,0.3112501718135327,0.12111430893357907,0.4394428455332105,0.5897142857142857,0.9681340510856637,0.9984496200473609,0.998442268066807,0.9684285714285714,0.9681757390595986
554,bo_div,600,3600,25,0.025,0.2,4089.881157709,2,0.027714285714285716,0.9722857142857143,0.9478952272292054,0.026052386385397308,0.4260445287916646,0.2869777356041677,0.08092857142857143,0.961975926072874,0.9987545777949987,0.9987392557423544,0.9623571428571429,0.9619898421782029
